"","year","population","pop_no","stat_area","CU","escapement","er_E","er_2","er_3","total_runE","total_run2","total_run3","age_3","age_4","age_5","rec_E","rec_2","rec_3","RS_E","RS_2","RS_3","logRS1","logRS2","logRS3","Ut","Model","group","region","Smsy","Sgen","Umsy","U_relative"
"29",1980,"kiltush",6,6,"northern_coastal",100,0.447,0.467,0.461,181,188,186,0.714,0.286,0,343,357,353,3.426866064,3.570334988,3.526750577,1.23164615954921,1.27265942556307,1.26037693057918,0.467,"Time-varying",5,"Inner Waters",428.124727681116,115.83352871766,0.582386905858289,0.801872424160639
"30",1980,"kiskosh_ck",15,6,"northern_coastal",200,0.447,0.467,0.461,362,375,371,0.714,0.286,0,191,198,195,0.953058429,0.987621113,0.974614608,-0.0480790666092416,-0.0124561436513258,-0.0257131599717426,0.467,"Time-varying",5,"Inner Waters",109.98164560731,32.8358088860637,0.551568661485846,0.846676094218206
"31",1980,"kitwanga",42,4,"middle_skeena",700,0.74,NA,NA,2692,NA,NA,0.752,0.246,0.002,4488,NA,NA,6.411578681,NA,NA,1.85810552469699,NA,NA,0.74,"Time-varying",3,"Skeena",3267.39575754802,695.549265063356,0.645553770879017,1.1463026526704
"32",1980,"lachmach",48,3,"portland_observatory",100,0.678,NA,NA,311,NA,NA,0.54758,0.44965,0.00275,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678,"Time-varying",2,"Nass",943.485358641068,228.093290685196,0.609529690293014,1.11233301805868
"33",1980,"martin",27,8,"northern_coastal",1000,0.447,0.467,0.461,1808,1877,1856,0.714,0.286,0,2820,2929,2891,2.819602452,2.928573138,2.891207535,1.0365959005441,1.0745153207962,1.06167424703671,0.467,"Time-varying",6,"Central Coast (South)",2624.23995067219,750.04774076884,0.566709674507612,0.824055104416128
"34",1980,"meziadin",46,3,"upper_nass",2600,0.678,NA,NA,8075,NA,NA,0.68127,0.31776,0.00072,5840,NA,NA,2.246236029,NA,NA,0.80925593939679,NA,NA,0.678,"Time-varying",2,"Nass",2363.13056830752,617.605297203524,0.596127191055029,1.13734117512753
"35",1980,"nangeese_kspx",41,4,"middle_skeena",400,0.74,NA,NA,1538,NA,NA,0.752,0.246,0.002,1523,NA,NA,3.806943218,NA,NA,1.33682656213284,NA,NA,0.74,"Time-varying",3,"Skeena",1002.88222625132,232.88465273605,0.623543674162422,1.18676530716795
"36",1980,"necleetsconnay",31,8,"bella_coola_dean",100,0.457,0.467,0.461,184,188,186,0.945945946,0.054054054,0,300,303,299,3,3.034389751,2.992021277,1.09861228866811,1.11001033378337,1.09594917138374,0.467,"Time-varying",6,"Central Coast (South)",462.10773748477,129.224587448306,0.567868567773493,0.822373391489196
"37",1980,"nias",23,6,"hecate_strait_mainland",50,0.407,0.416,0.461,84,86,93,0.854411765,0.141176471,0.004411765,226,229,250,4.515218409,4.578402096,5.001109512,1.50745355978534,1.5213500499145,1.6096597902174,0.416,"Time-varying",4,"Hecate Lowlands",181.737156664572,44.300671055754,0.611118358569506,0.680719199753326
"38",1980,"pallant_ck",51,2,"haida_gwaii_east",2500,0.309,NA,NA,3618,NA,NA,0.854,0.141,0.004,6081,NA,NA,2.432567633,NA,NA,0.888947338596949,NA,NA,0.309,"Time-varying",1,"Haida Gwaii",2023.26566632439,601.600177875517,0.552309301535705,0.559469121995267
"39",1980,"paril",7,6,"northern_coastal",100,0.447,0.467,0.461,181,188,186,0.714,0.286,0,292,304,300,2.919949662,3.0386374,3.000910123,1.0715663770905,1.11140919125166,1.09891561699275,0.467,"Time-varying",5,"Inner Waters",485.031391897657,132.048470582271,0.57680578227452,0.809631273387165
"40",1980,"quaal",16,6,"hecate_strait_mainland",3000,0.407,0.416,0.461,5056,5140,5569,0.854411765,0.141176471,0.004411765,7384,7467,8175,2.461294484,2.488857618,2.725126248,0.900687424550887,0.911823817249416,1.00251475658331,0.416,"Time-varying",4,"Hecate Lowlands",11835.224748705,3668.75018576775,0.548178344171158,0.75887711439785
"41",1980,"quartcha",26,7,"northern_coastal",NA,0.447,0.467,0.461,NA,NA,NA,0.714,0.286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467,"Time-varying",6,"Central Coast (South)",574.559614231808,150.855345076596,0.582366949447217,0.801899902532719
"42",1980,"riordan",17,6,"northern_coastal",100,0.447,0.467,0.461,181,188,186,0.714,0.286,0,267,277,274,2.666491461,2.772788607,2.737989896,0.980763548728247,1.01985353112772,1.00722403657457,0.467,"Time-varying",5,"Inner Waters",130.955819558388,34.8977051911349,0.589139211948354,0.792681917157703
"43",1980,"roscoe",25,7,"northern_coastal",NA,0.447,0.467,0.461,NA,NA,NA,0.714,0.286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467,"Time-varying",6,"Central Coast (South)",959.651870230723,253.834947382025,0.580430453741147,0.804575288891142
"44",1980,"salloomt",52,8,"bella_coola_dean",NA,0.457,0.467,0.461,NA,NA,NA,0.945945946,0.054054054,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467,"Time-varying",6,"Central Coast (South)",354.661547480556,92.6808002639342,0.58409340672473,0.799529655057529
